First name,Last name,Role,Time,Status,6/1,6/8,6/15,6/22,6/29,7/6,7/13,7/20,7/27,8/3,8/10,8/17,8/24,8/31,9/7,9/14,9/21,9/28,Last Served,Home phone,email address 1,email address 2,Address1,City State,Zip code,Mailing label,,,,,,,,
Choir Schedule,,,,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,UNK,,,something@somewhere.com,,,,,,,,,,,,,
Sandy,First,AC,8/11:00,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,,,yay@bah.com,,,,,,,,,,,,,
Judy,Second,AC,8/11:00,A,I,8,11,I,I,A,A,A,I,8,I,I,A,A,A,A,A,11,,,hope@there.com,,,,,,,,,,,,,
Bob,Third,AC,9/11:00,A,A,I,I,9,A,I,I,I,I,A,A,I,A,11,A,A,A,A,,,i@know.com,,,,,,,,,,,,,
Bruce,Fourth,AC,9/11:00,A,A,I,I,A,A,I,I,I,I,9,A,I,A,A,A,A,11,A,,,you@know.com,,,,,,,,,,,,,
Bob,Third,AM,9/11:00,A,A,I,I,9,A,I,I,I,I,A,A,I,A,11,A,A,A,A,,,half@milk.com,alt@somewhereelse.com,,,,,,,,,,,,
Bruce,Fourth,AM,9/11:00,A,A,I,I,A,A,I,I,I,I,9,A,I,A,A,A,A,11,A,,,john@brown.com,,,,,,,,,,,,,
Judy,Second,G,8/11:00,A,I,A,11,I,I,A,A,A,I,8,I,I,A,A,A,A,A,11,,,jolt@colt.org,,,,,,,,,,,,,
Bob,Third,G,9/11:00,A,A,I,I,9,A,I,I,I,I,A,A,I,A,11,A,A,A,A,,,springy@spring.net,,,,,,,,,,,,,
Sandy,First,U,8/11:00,A,I,8,A,I,I,A,A,11,I,A,I,I,11,A,A,A,A,A,,,fast@lane.com,,,,,,,,,,,,,
Judy,Second,U,8/11:00,A,I,A,11,I,I,A,A,A,I,8,I,I,A,A,A,A,A,11,,,stop@claim.net,,,,,,,,,,,,,
Bob,Third,U,9/11:00,A,A,I,I,9,A,I,I,I,I,A,A,I,A,11,A,A,A,A,,,something@somewhere.com,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
